price,sqft_price,super_area_sqft,bhk,bathroom,balcony,covered_parking,open_parking,total_parking,facility_score,floor_number,total_floors,property_id,city_id,location_id,property_type_id,transaction_id,furnishing_id,overlooking_id,ownership_id,facing_id,floor_category_id
15000000.0,9470.0,1584.0,3,3.0,2.0,1,0,1,0,12.0,16.0,76,1,139,0,0,2,3,1,1,0
7800000.0,5342.0,1460.0,3,3.0,2.0,1,0,1,0,4.0,16.0,77,1,1324,0,0,2,5,1,0,1
11700000.0,9792.0,1162.6666666666667,3,3.0,2.0,1,0,1,0,1.0,5.0,78,1,84,0,0,2,1,1,0,1
10600000.0,8583.0,1276.0,2,2.0,1.0,2,0,2,0,3.0,20.0,79,1,1072,0,0,2,0,1,0,1
8890000.0,9500.0,936.0,2,2.0,1.0,1,0,1,0,1.0,14.0,80,1,2452,0,0,2,3,1,0,1
7400000.0,5000.0,1480.0,3,2.0,2.0,1,0,1,0,2.0,5.0,81,1,665,0,0,2,3,1,0,2
56300000.0,18010.0,3334.6666666666665,3,3.0,1.0,2,0,2,0,2.0,13.0,82,1,1819,0,2,2,6,1,4,1
3940000.0,5325.0,800.0,2,2.0,1.0,0,1,1,0,2.0,4.0,83,1,733,0,0,2,1,1,0,2
5700000.0,6968.0,874.6666666666666,2,2.0,1.0,1,0,1,0,2.0,19.0,84,1,1334,0,0,2,0,1,0,1
13000000.0,6700.0,1948.0,4,3.0,2.0,0,0,0,0,4.0,10.0,85,1,1768,0,0,2,4,1,0,2
5900000.0,7213.0,818.0,2,2.0,1.0,1,0,1,0,5.0,19.0,86,1,1334,0,0,2,2,1,1,1
10400000.0,7000.0,1980.0,3,3.0,1.0,1,0,1,2,1.0,1.0,87,1,1271,1,0,2,5,1,1,0
13799999.999999998,6700.0,2070.0,4,4.0,2.0,0,0,0,0,4.0,10.0,88,1,1768,0,0,2,4,1,0,2
18900000.0,12500.0,1519.0,3,3.0,2.0,1,0,1,0,4.0,10.0,89,1,2452,0,0,2,4,1,0,2
39200000.0,18500.0,2122.6666666666665,3,3.0,3.0,2,0,2,0,3.0,3.0,90,1,59,0,0,2,5,1,0,0
6640000.000000001,6898.0,963.0,2,2.0,1.0,0,0,0,0,2.0,3.0,91,1,900,1,0,2,5,1,0,2
