city,price,sqft_price,posted_by,bhk,property_type,location,transaction,furnishing,bathroom,balcony,facing,overlooking,ownership,super_area_sqft,ready_to_move,covered_parking,open_parking,facility_score,floor_number,total_floors,has_overlooking,floor_ratio,log_price,floor_category,total_parking,has_parking,price_in_lakhs,area_per_bhk,lat,lon,price_segment,price_segment_by_city
chennai,10800000.0,8282.0,builder: urbanrise,3,apartment,madhavaram,new property,unfurnished,3.0,2.0,east,insignificant,freehold,1304.0,0,1,0,0,4.0,10.0,0,0.4,16.195056784687036,mid,1,1,108.0,434.6666666666667,13.1429313,80.2325166,Affordable,Mid-range
chennai,10800000.0,8450.0,builder: navin housing and properties pvt. ltd.,2,apartment,medavakkam,new property,unfurnished,2.0,2.0,east,insignificant,freehold,1285.0,1,1,0,0,4.0,10.0,0,0.4,16.195056784687036,mid,1,1,108.0,642.5,12.9229928,80.1882897,Affordable,Mid-range
chennai,17100000.0,17629.0,builder: harmony residences pvt. ltd.,2,apartment,kodambakkam,new property,unfurnished,2.0,2.0,east,insignificant,freehold,970.0,0,1,0,0,4.0,10.0,0,0.4,16.65458907995242,mid,1,1,171.0,485.0,13.049207,80.2242829,Mid-range,Premium
chennai,13799999.999999998,8818.0,builder: bscpl infrastructure ltd,3,apartment,omr,new property,unfurnished,2.0,2.0,east,insignificant,freehold,1565.0,0,1,0,0,4.0,10.0,0,0.4,16.440179222591198,mid,1,1,137.99999999999997,521.6666666666666,12.8886985,80.2272652,Affordable,Mid-range
chennai,10400000.0,10000.0,builder: jain housing & constructions ltd.,2,apartment,perungudi,new property,unfurnished,2.0,2.0,east,insignificant,freehold,1049.0,1,1,0,0,4.0,10.0,0,0.4,16.15731646026544,mid,1,1,104.0,524.5,12.9710239,80.2418051,Affordable,Mid-range
chennai,6100000.0,5505.0,builder: gp homes pvt. ltd.,2,villa,sevvapet,new property,unfurnished,2.0,2.0,east,insignificant,freehold,1108.0,0,1,0,0,4.0,10.0,0,0.4,15.623799493077952,mid,1,1,61.0,554.0,13.1293328,79.9702214,Budget,Affordable
chennai,16500000.0,10728.0,builder: jones foundations pvt. ltd.,3,apartment,velachery,new property,unfurnished,3.0,2.0,east,insignificant,freehold,1538.0,0,1,0,0,4.0,10.0,0,0.4,16.61887099947687,mid,1,1,165.0,512.6666666666666,12.9801655,80.2228506,Affordable,Mid-range
chennai,6000000.0,6000.0,builder: casagrand builder pvt. ltd.,2,apartment,sholinganallur,new property,unfurnished,2.0,2.0,east,insignificant,freehold,1000.0,0,1,0,0,4.0,10.0,0,0.4,15.607270193858982,mid,1,1,60.0,500.0,12.9174426,80.2164902,Budget,Affordable
chennai,78000000.0,21709.0,unknown,3,apartment,mount road,new property,unfurnished,3.0,1.0,east,"garden/park, pool, main road",freehold,3333.3333333333335,0,1,0,0,21.0,38.0,1,0.5526315789473685,18.17221939747438,mid,1,1,780.0,1111.111111111111,13.0650772,80.2665696,Luxury,Luxury
chennai,84600000.00000001,22854.0,builder: appaswamy real estates ltd.,4,apartment,guindy,new property,unfurnished,4.0,2.0,east,insignificant,freehold,3702.0,0,1,0,0,4.0,10.0,0,0.4,18.25344483639678,mid,1,1,846.0000000000001,925.5,13.0086685,80.2126063,Luxury,Luxury
chennai,10300000.0,9631.0,builder: lml homes,2,apartment,kattupakkam,new property,unfurnished,2.0,2.0,east,insignificant,freehold,1076.0,0,1,0,0,4.0,10.0,0,0.4,16.14765455028724,mid,1,1,103.0,538.0,13.0430617,80.122765,Affordable,Mid-range
chennai,8400000.0,5794.0,builder: nest zone india pvt ltd,3,apartment,mannivakkam,new property,unfurnished,3.0,2.0,east,insignificant,freehold,1450.0,1,1,0,0,4.0,10.0,0,0.4,15.943742382861155,mid,1,1,84.0,483.3333333333333,13.004405329120878,80.19845550357142,Budget,Affordable
chennai,7409999.999999999,6425.0,builder: m s. pearl construction chennai private limited,3,apartment,perungalathur,new property,unfurnished,3.0,2.0,east,insignificant,freehold,1153.0,0,1,0,0,4.0,10.0,0,0.4,15.818341132225028,mid,1,1,74.1,384.3333333333333,12.9256549,80.10437,Budget,Affordable
chennai,26500000.0,13649.0,builder: oblong realties pvt ltd,3,apartment,mogappair east,new property,unfurnished,3.0,2.0,east,insignificant,freehold,1943.0,1,1,0,0,4.0,10.0,0,0.4,17.0926553286923,mid,1,1,265.0,647.6666666666666,13.0835142,80.1840779,Mid-range,Premium
chennai,27500000.0,16499.0,builder: lifestyle housing and infrastructure pvt ltd,3,apartment,mylapore,new property,unfurnished,3.0,2.0,east,insignificant,freehold,1668.0,0,1,0,0,4.0,10.0,0,0.4,17.129696599000436,mid,1,1,275.0,556.0,13.0316473,80.2700166,Mid-range,Premium
chennai,11500000.0,9500.0,unknown,2,apartment,pallavaram,new property,semi-furnished,2.0,1.0,north - east,"garden/park, main road",freehold,1073.3333333333333,0,1,0,0,9.0,18.0,1,0.5,16.257857680289998,mid,1,1,115.0,536.6666666666666,12.9675742,80.1520504,Affordable,Mid-range
chennai,24000000.0,13552.0,builder: asset tree homes,4,villa,east tambaram,new property,unfurnished,4.0,2.0,east,insignificant,freehold,1771.0,0,1,0,0,4.0,10.0,0,0.4,16.993564429978885,mid,1,1,240.0,442.75,12.9303475,80.1324472,Mid-range,Premium
chennai,20900000.0,12500.0,builder: pushkar properties pvt. ltd.,3,apartment,ayanavaram,new property,unfurnished,3.0,2.0,east,insignificant,freehold,1675.0,0,1,0,0,4.0,10.0,0,0.4,16.855259764781927,mid,1,1,209.0,558.3333333333334,13.0946157,80.23541,Mid-range,Premium
chennai,7259999.999999999,7200.0,builder: sri ayyan homes,2,apartment,medavakkam,new property,unfurnished,2.0,2.0,east,insignificant,freehold,1008.0,0,1,0,0,4.0,10.0,0,0.4,15.797890524542016,mid,1,1,72.6,504.0,12.9229928,80.1882897,Budget,Affordable
chennai,11100000.000000002,7950.0,builder: sree guru foundations pvt. ltd.,3,builder floor,pallikaranai,new property,unfurnished,2.0,2.0,east,insignificant,freehold,1404.0,0,1,0,0,1.0,5.0,0,0.2,16.22245575637265,low,1,1,111.00000000000001,468.0,12.9304748,80.2077692,Affordable,Mid-range
chennai,7530000.0,6300.0,builder: crest homes pvt. ltd.,3,apartment,anakaputhur,new property,unfurnished,3.0,2.0,east,insignificant,freehold,1195.0,0,1,0,0,4.0,10.0,0,0.4,15.834405732578192,mid,1,1,75.3,398.3333333333333,12.9722109,80.1393765,Budget,Affordable
chennai,7070000.0,7178.0,unknown,2,apartment,perumbakkam,new property,unfurnished,2.0,2.0,east,insignificant,freehold,986.6666666666666,1,1,0,0,4.0,10.0,0,0.4,15.77137117931546,mid,1,1,70.7,493.3333333333333,12.9050095,80.1968629,Budget,Affordable
